"School Name","School Type","Address","City","Zipcode","Planning Region","Polio","DTaP","MMR","HepB","Varicella","HepA","All","Ex_Rel","Ex_Med","Ex_Tot"
"Middlebrook School","Public","220 Middlebrooks Ave.","Trumbull","06611","Greater Bridgeport","98.7","97.5","98.7","97.5","98.7","98.7","97.5","0","1.3","1.3"
"Oakview Primary School","Non-public","40 Oakview Dr.","Trumbull","06611","Greater Bridgeport","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"St. Catherine of Siena","Non-public","190 Shelton Road","Trumbull","06611","Greater Bridgeport","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"St. Theresa","Non-public","55 Rosemond Terrace","Trumbull","06611","Greater Bridgeport","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"St. Vincent's Special Needs School Program","Non-public","95 Merritt Blvd","Trumbull","06611","Greater Bridgeport","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Tashua School","Public","401 Stonehouse Rd.","Trumbull","06611","Greater Bridgeport","98.7","100","98.7","98.7","98.7","98.7","98.7","0","0","0"
"Center Road School","Public","20 Center Rd.","Vernon","06066","Capitol","100","100","100","100","100","100","100","0","0","0"
"Lake Street School","Public","201 Lake St.","Vernon","06066","Capitol","97.7","97.7","97.7","97.7","97.7","97.7","97.7","0","2.3","2.3"
"Maple Street School","Public","20 Maple St.","Vernon","06066","Capitol","100","100","100","97.1","100","97.1","97.1","0","0","0"
"Northeast School","Public","69 East St.","Vernon","06066","Capitol","100","100","100","100","100","100","100","0","0","0"
"Skinner Road School","Public","90 Skinner Rd.","Vernon","06066","Capitol","100","100","100","100","100","100","100","0","0","0"
"Voluntown Elementary School","Public","195 Main Street","Voluntown","06384","Northeast CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Benhaven Academy","Non-public","50 North Plains Highway","Wallingford","06492","Western","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Carver Academy School","Non-public","350 High Hill Rd","Wallingford","06492","South Central","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Cook Hill School","Public","57 Hall Road","Wallingford","06492","South Central","100","100","100","100","100","100","100","0","0","0"
"Evarts C. Stevens School","Public","18 Kondracki Lane","Wallingford","06492","South Central","96.3","96.3","96.3","96.3","96.3","95","95","0","3.8","3.8"
"Heritage Baptist Academy","Non-public","161 South Whittlesey Avenue","Wallingford","06492","South Central","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"High Road Academy - BEST Academy","Non-public","5 Barnes Industrial Road","Wallingford","06492","South Central","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Highland School","Public","200 Highland Avenue","Wallingford","06492","South Central","97.7","97.7","97.7","97.7","97.7","97.7","97.7","0","2.3","2.3"
"Holy Trinity School","Non-public","11 North Whittlesey Avenue","Wallingford","06492","South Central","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Moses Y. Beach School","Public","340 North Main Street","Wallingford","06492","South Central","100","100","100","100","100","100","100","0","0","0"
"Parker Farms School","Public","30 Parker Farms Road","Wallingford","06492","South Central","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Warren School","Public","21 Sackett Hill Road","Warren","06754","Northwest Hills","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Rumsey Hall School","Non-public","201 Romford Road","Washington","06794","Northwest Hills","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Washington Montessori School","Non-public","240 Litchfield Turnpike","Washington","06777","Northwest Hills","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Washington Primary School","Public","11 School St.","Washington","06794","Northwest Hills","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Alpha & Omega Christian Academy","Non-public","50 Linden Street","Waterbury","06702","Naugatuck Valley","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"B. W. Tinker School","Public","809 Highland Ave.","Waterbury","06708","Naugatuck Valley","100","98.8","98.8","100","97.6","98.8","96.5","0","0","0"
"Brass City Charter School","Public","289 Willow St.","Waterbury","06710","Naugatuck Valley","92.5","92.5","97.5","100","97.5","100","92.5","0","0","0"
"Bucks Hill School","Public","330 Bucks Hill Rd.","Waterbury","06704","Naugatuck Valley","100","100","100","100","100","98.2","98.2","0","0","0"
"Bunker Hill School","Public","170 Bunker Hill Ave.","Waterbury","06708","Naugatuck Valley","100","100","94.8","100","94.8","100","94.8","0","0","0"
"Carrington School","Public","24 Kenmore Ave.","Waterbury","06708","Naugatuck Valley","100","100","100","100","100","100","100","0","0","0"
"Catholic Academy of Waterbury","Non-public","386 Robinwood Road","Waterbury","06708","Naugatuck Valley","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Children's Community School","Non-public","23 John Street","Waterbury","06708","Naugatuck Valley","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Driggs School","Public","77 Woodlawn Terrace","Waterbury","06710","Naugatuck Valley","95.5","95.5","95.5","100","95.5","100","94","0","0","0"
"Duggan School","Public","952 Bank Street","Waterbury","06708","Naugatuck Valley","96.4","96.4","96.4","98.2","96.4","98.2","96.4","0","1.8","1.8"
"F. J. Kingsbury School","Public","220 Columbia Blvd.","Waterbury","06710","Naugatuck Valley","96.5","96.5","100","100","100","100","96.5","0","0","0"
"Gilmartin School","Public","107 Wyoming Ave.","Waterbury","06706","Naugatuck Valley","100","100","100","100","100","100","100","0","0","0"
"H. S. Chase School","Public","40 Woodtick Rd.","Waterbury","06705","Naugatuck Valley","97.3","96.4","99.1","100","99.1","98.2","96.4","0","0","0"
"Hopeville School","Public","2 Cypress St.","Waterbury","06706","Naugatuck Valley","87","87","100","87","100","87","87","0","0","0"
"Maloney Interdistrict Magnet School","Public","233 South Elm St.","Waterbury","06706","Naugatuck Valley","100","100","100","100","100","100","100","0","0","0"
"Margaret M. Generali Elementary School","Public","3196 East Main St.","Waterbury","06705","Naugatuck Valley","100","100","100","100","98.5","100","98.5","0","0","0"
"Our Lady of Mount Carmel-Waterbury","Non-public","645 Congress Avenue","Waterbury","06708","Naugatuck Valley","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Reed School","Public","33 Griggs Street","Waterbury","06704","Naugatuck Valley","100","100","100","100","100","100","100","0","0","0"
"Regan School","Public","2780 North Main St.","Waterbury","06704","Naugatuck Valley","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Roberto Clemente International Dual Language School","Public","116 Beecher Avenue","Waterbury","06705","Naugatuck Valley","100","100","100","100","100","100","100","0","0","0"
"Rotella Interdistrict Magnet School","Public","380 Pierpont Rd.","Waterbury","06705","Naugatuck Valley","100","100","100","100","100","100","100","0","0","0"
"Sprague School","Public","1443 Thomaston Ave.","Waterbury","06704","Naugatuck Valley","100","100","100","100","100","100","100","0","0","0"
"State Street School","Public","30 Church Street","Waterbury","06702","Naugatuck Valley","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Walsh School","Public","55 Dikeman Street","Waterbury","06704","Naugatuck Valley","98.3","100","100","96.6","100","96.6","86.4","0","0","0"
"Washington School","Public","685 Baldwin St.","Waterbury","06706","Naugatuck Valley","100","97.4","97.4","100","94.7","92.1","89.5","0","0","0"
"Wendell L. Cross School","Public","1255 Hamilton Ave.","Waterbury","06706","Naugatuck Valley","98.2","98.2","100","100","100","98.2","98.2","0","0","0"
"Woodrow Wilson School","Public","235 Birch St.","Waterbury","06704","Naugatuck Valley","100","100","100","100","100","98.7","98.7","0","0","0"
"Baptist Bible Academy","Non-public","1144 Hartford Turnpike","Waterford","06385","Southeastern CT","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Great Neck Elementary School","Public","165 Great Neck Rd.","Waterford","06385","Southeastern CT","100","100","100","100","100","100","100","0","0","0"
"Oswegatchie Elementary School","Public","470 Boston Post Rd.","Waterford","06385","Southeastern CT","100","100","100","100","100","100","100","0","0","0"
"Quaker Hill Elementary School","Public","285 Bloomingdale Rd.","Waterford","06375","Southeastern CT","100","100","100","100","100","100","100","0","0","0"
"The Friendship School","Non-public","24 Rope Ferry Rd.","Waterford","06385","Southeastern CT","100","100","100","100","100","100","100","0","0","0"
"Waterford Country School","Non-public","78 Hunts Brook Road","Waterford","06375","Southeastern CT","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Holy Disciples Catholic School","Non-public","140 Buckingham Street","Watertown","06779","Naugatuck Valley","93.9","93.9","93.9","93.9","93.9","93.9","93.9","0","3","3"
"John Trumbull Primary","Non-public","779 Buckingham St.","Watertown","06779","Naugatuck Valley","100","100","100","100","100","100","100","0","0","0"
"Aiken School","Public","212 King Philip Dr.","West Hartford","06117","Capitol","100","100","100","100","100","100","100","0","0","0"
"American School for the Deaf","Non-public","139 North Main Street","West Hartford","06107","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Braeburn School","Public","45 Braeburn Rd.","West Hartford","06107","Capitol","100","100","100","100","100","100","100","0","0","0"
"Bugbee School","Public","1943 Asylum Ave.","West Hartford","06117","Capitol","100","100","100","100","100","100","100","0","0","0"
"Charter Oak International Academy","Public","425 Oakwood Ave.","West Hartford","06110","Capitol","100","98.7","98.7","100","98.7","98.7","98.7","0","0","0"
"Duffy School","Public","95 Westminster St.","West Hartford","06107","Capitol","100","100","100","100","100","100","100","0","0","0"
"Montessori School of Greater Hartford","Non-public","141 North Main Street","West Hartford","06107","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Morley School","Public","77 Bretton Rd.","West Hartford","06119","Capitol","100","100","100","100","100","100","100","0","0","0"
"New England Jewish Academy","Non-public","300 Bloomfield Avenue","West Hartford","06117","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Norfeldt School","Public","35 Barksdale Rd.","West Hartford","06117","Capitol","100","100","100","100","100","100","100","0","0","0"
"Renbrook School","Non-public","2865 Albany Avenue","West Hartford","06117","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Smith School","Public","64 St. James St.","West Hartford","06119","Capitol","100","100","100","100","100","100","100","0","0","0"
"Solomon Schechter Day School of Greater Hartford","Non-public","26 Buena Vista Road","West Hartford","06107","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"St. Thomas the Apostle","Non-public","25 Dover Road","West Hartford","06119","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"University of Hartford Magnet School","Non-public","196 Bloomfield Ave.","West Hartford","06117","Capitol","100","100","100","100","100","100","100","0","0","0"
"Webster Hill School","Public","125 Webster Hill Blvd.","West Hartford","06117","Capitol","100","100","100","98.2","100","100","98.2","0","0","0"
"Whiting Lane School","Public","47 Whiting Ln.","West Hartford","06119","Capitol","100","100","100","100","100","100","100","0","0","0"
"Wolcott School","Public","71 Wolcott Rd.","West Hartford","06110","Capitol","100","100","100","100","100","100","100","0","0","0"
"Alma E. Pagels School","Public","26 Benham Hill Rd.","West Haven","06516","South Central","100","100","100","100","100","100","100","0","0","0"
"Edith E. Mackrille School","Public","806 Jones Hill Rd.","West Haven","06516","South Central","98.3","98.3","96.6","100","100","96.6","94.9","0","0","0"
"Forest School","Public","95 Burwell Rd.","West Haven","06516","South Central","100","100","100","100","100","100","100","0","0","0"
"Savin Rock Community School","Public","50 Park St.","West Haven","06516","South Central","100","100","100","100","100","100","100","0","0","0"
"Seth G. Haley School","Public","148 South St.","West Haven","06516","South Central","100","100","100","100","100","100","100","0","0","0"
"St. Lawrence School-West Haven","Non-public","231 Main Street","West Haven","06516","South Central","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Washington School","Public","255 Meloy Road","West Haven","06516","South Central","98.8","98.8","98.8","98.8","98.8","98.8","98.8","0","0","0"
"Daisy Ingraham School","Public","105 Goodspeed Dr.","Westbrook","06498","Lower CT River Valley","100","100","100","100","100","100","100","0","0","0"
"Hurlbutt Elementary School","Public","9 School Rd.","Weston","06883","Western CT","98.5","98.5","98.5","98.5","98.5","98.5","98.5","0","1.5","1.5"
"Coleytown Elementary School","Public","65 Easton Rd.","Westport","06880","Western CT","100","100","100","100","100","100","100","0","0","0"
"Greens Farms Academy","Non-public","35 Beachside Ave","Westport","06880","Western CT","100","100","96.7","100","100","100","96.7","0","0","0"
"Green's Farms School","Public","17 Morningside Dr. South","Westport","06880","Western CT","96.2","96.2","94.2","100","94.2","100","94.2","0","0","0"
"King's Highway Elementary School","Public","125 Post Rd. West","Westport","06880","Western CT","100","100","100","100","100","98.7","98.7","0","0","0"
"Long Lots School","Non-public","13 Hyde Lane","Westport","06880","Western CT","98.8","98.8","98.8","98.8","98.8","98.8","98.8","0","1.2","1.2"
"Pierrepont School","Non-public","1 Sylvan Rd N","Westport","06880","Western","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Saugatuck Elementary School","Public","170 Riverside Ave.","Westport","06880","Western CT","98.5","100","100","100","100","98.5","97.1","0","0","0"
"Alfred W. Hanmer School","Public","50 Francis St.","Wethersfield","06109","Capitol","96.8","96.8","96.8","96.8","96.8","96.8","96.8","0","3.2","3.2"
"Charles Wright School","Public","186 Nott St.","Wethersfield","06109","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Corpus Christi School","Non-public","581 Silas Deane Highway","Wethersfield","06109","Capitol","97.1","97.1","97.1","97.1","97.1","97.1","97.1","0","2.9","2.9"
"Discovery Academy","Non-public","176 Cumberland Avenue","Wethersfield","06109","Capitol","100","100","98.5","100","98.5","100","98.5","0","0","0"
"Emerson-Williams School","Public","461 Wells Rd.","Wethersfield","06109","Capitol","100","100","100","100","100","100","100","0","0","0"
"Highcrest School","Public","95 Highcrest Rd.","Wethersfield","06109","Capitol","100","100","100","100","100","100","100","0","0","0"
"Samuel B. Webb Elementary School","Public","51 Willow St.","Wethersfield","06109","Capitol","100","100","100","100","100","97.9","97.9","0","0","0"
"Center School","Public","12 Old Farms Rd.","Willington","06279","Capitol","100","100","100","100","100","97.1","97.1","0","0","0"
"Apple Blossom School & Family Center","Non-public","426 Danbury Rd","Wilton","06897","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Miller-Driscoll School","Public","217 Wolfpit Rd.","Wilton","06897","Western CT","98.1","98.1","98.5","98.5","98.1","98.5","98.1","0","1.2","1.2"
"Schoolhouse Academy Inc.","Non-public","225 Danbury Road","Wilton","06897","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Seven Acres Montessori","Non-public","34 Whipple Road","Wilton","06897","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Mary P. Hinsdale School","Public","15 Hinsdale Ave.","Winchester","06098","Northwest Hills","98.6","98.6","98.6","98.6","98.6","98.6","98.6","0","1.4","1.4"
"Charles H. Barrows STEM Academy","Public","141 Tuckie Road","Windham","06256","Southeastern CT","98.3","96.7","98.3","100","98.3","100","96.7","0","0","0"
"Clinical Developmental, and Therapeutic Programs","Public","832 Main St","Windham","06226","Southeastern CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Natchaug School","Public","123 Jackson St.","Windham","06226","Southeastern CT","93.2","97.7","97.7","100","97.7","97.7","90.9","0","0","0"
"North Windham School","Public","112 Jordan Ln.","Windham","06256","Southeastern CT","100","100","100","100","100","100","100","0","0","0"
"W. B. Sweeney School","Public","60 Oak Hill Dr.","Windham","06226","Southeastern CT","100","100","100","100","100","100","100","0","0","0"
"Madina Academy","Non-public","519 Palisado Ave","Windsor","06095","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Oliver Ellsworth School","Public","730 Kennedy Ave.","Windsor","06095","Capitol","99.1","99.1","99.1","99.1","99.1","100","97.4","0","0","0"
"Poquonock Elementary School","Public","1760 Poquonock Ave.","Windsor","06095","Capitol","100","100","100","100","100","100","100","0","0","0"
"Power & Prayer Christian School","Non-public","209 Kennedy Rd","Windsor","06095","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"St. Gabriel","Non-public","77 Bloomfield Avenue","Windsor","06095","Capitol","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Windsor Montessori School","Non-public","114 Palisado Avenue","Windsor","06095","Capitol","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"North Street School","Public","325 North St.","Windsor Locks","06096","Capitol","100","98.8","98.8","100","98.8","100","98.8","0","0","0"
"Alcott School","Public","1490 Woodtick Rd.","Wolcott","06716","Naugatuck Valley","97.5","97.5","97.5","97.5","97.5","97.5","97.5","0","2.5","2.5"
"Frisbie School","Public","24 Todd Rd.","Wolcott","06716","Naugatuck Valley","100","100","100","100","100","100","100","0","0","0"
"Wakelee School","Public","12 Hempel Dr.","Wolcott","06716","Naugatuck Valley","100","100","100","100","100","97.8","97.8","0","0","0"
"Beecher Road School","Public","40 Beecher Rd.","Woodbridge","06525","South Central","96.5","96.5","96.5","96.5","96.5","95.3","95.3","0","2.4","2.4"
"Ezra Academy","Non-public","75 Rimmon Road","Woodbridge","06525","South Central","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Mitchell Elementary School","Public","14 School St.","Woodbury","06798","Naugatuck Valley","100","100","100","100","100","100","100","0","0","0"
"Woodstock Elementary School","Public","24 Frog Pond Rd.","Woodstock","06281","Northeast CT","98.5","98.5","97.1","97.1","97.1","100","95.6","0","0","0"
